age,job,marital,education,balance,housing,loan,month,duration,campaign,pdays,previous,poutcome,deposit
30,1,2,1,239,1,0,8,412,1,-1,0,3,1
37,9,2,1,1211,1,0,8,795,1,-1,0,3,1
36,1,1,0,599,1,0,8,649,2,-1,0,3,1
31,4,2,2,825,1,0,8,506,2,-1,0,3,1
27,9,1,1,2183,1,1,8,857,1,-1,0,3,1
34,5,1,0,4499,0,0,8,1681,1,-1,0,3,1
30,9,2,2,1289,1,0,8,1697,2,-1,0,3,1
32,9,2,2,4665,1,0,8,860,2,-1,0,3,1
37,9,2,1,3326,1,0,8,799,1,-1,0,3,1
32,1,1,1,783,1,0,8,923,3,-1,0,3,1
33,1,1,1,0,1,0,8,521,3,-1,0,3,1
35,1,1,0,994,1,0,8,1349,8,-1,0,3,1
35,6,0,2,1354,1,0,8,736,2,-1,0,3,1
30,1,2,1,239,1,0,8,785,1,-1,0,3,1
45,1,0,0,-311,1,0,8,1030,1,-1,0,3,1
45,0,1,1,149,1,0,8,893,3,-1,0,3,1
33,1,1,1,1464,1,0,8,588,3,-1,0,3,1
44,4,0,2,5773,0,0,8,597,6,-1,0,3,1
40,1,1,0,278,1,0,8,1015,3,-1,0,3,1
31,1,1,1,2910,1,0,8,1392,2,-1,0,3,1
30,9,1,2,541,1,0,8,414,2,-1,0,3,1
44,9,0,1,1262,1,0,8,788,11,-1,0,3,1
34,7,1,1,-538,1,0,8,682,1,-1,0,3,1
37,1,1,1,125,0,0,8,679,2,-1,0,3,1
28,6,2,2,0,1,0,8,1560,2,-1,0,3,1
32,0,2,1,620,1,0,8,1234,3,-1,0,3,1
37,1,0,1,316,1,0,8,642,2,-1,0,3,1
34,4,1,2,2287,1,0,8,895,4,-1,0,3,1
38,0,0,1,198,1,0,8,431,2,-1,0,3,1
28,0,2,1,460,1,0,8,741,6,-1,0,3,1
31,4,0,2,1145,1,0,8,1272,4,-1,0,3,1
59,7,1,1,-22,1,0,8,748,3,-1,0,3,1
24,1,1,1,685,1,0,8,896,3,-1,0,3,1
26,7,2,1,901,1,0,8,764,2,-1,0,3,1
59,5,2,1,351,1,0,8,1063,5,-1,0,3,1
30,2,2,0,0,1,1,8,1051,1,-1,0,3,1
37,0,1,1,274,1,0,8,731,3,-1,0,3,1
30,0,2,1,-213,1,1,8,751,1,-1,0,3,1
25,1,1,1,97,1,0,8,709,1,-1,0,3,1
44,7,0,1,51,1,1,8,3094,2,-1,0,3,1
29,4,1,2,314,0,0,8,938,2,-1,0,3,1
26,4,2,2,6840,1,0,8,1560,2,-1,0,3,1
26,9,2,1,668,1,0,8,576,3,-1,0,3,1
27,7,2,1,54,1,0,8,543,2,-1,0,3,1
25,6,2,1,1242,1,0,8,615,2,-1,0,3,1
28,4,1,1,292,1,0,8,507,1,-1,0,3,1
23,7,2,1,665,1,0,8,1183,1,-1,0,3,1
34,4,2,2,1058,1,0,8,864,2,-1,0,3,1
28,8,2,1,949,1,0,8,1730,1,-1,0,3,1
51,2,1,3,606,1,0,8,560,9,-1,0,3,1
35,1,1,1,0,1,1,8,543,1,-1,0,3,1
35,0,1,1,404,1,0,8,539,1,-1,0,3,1
56,1,1,1,249,1,0,8,791,2,-1,0,3,1
45,10,0,1,3354,1,0,8,746,1,-1,0,3,1
60,1,0,1,0,1,0,8,1207,1,-1,0,3,1
56,9,1,1,589,1,0,8,535,2,-1,0,3,1
27,4,2,2,12956,1,0,8,789,3,-1,0,3,1
30,0,1,1,873,1,0,8,792,3,-1,0,3,1
45,1,0,0,594,1,0,8,833,2,-1,0,3,1
29,1,2,1,-20,1,0,8,814,2,-1,0,3,1
38,4,0,2,4692,1,0,8,1363,2,-1,0,3,1
30,1,1,1,486,1,0,8,1109,3,-1,0,3,1
44,1,2,0,1593,1,0,8,828,3,-1,0,3,1
36,4,2,2,7606,1,0,8,917,1,-1,0,3,1
38,9,1,1,226,1,0,8,762,3,-1,0,3,1
36,1,2,1,366,1,1,8,1133,2,-1,0,3,1
37,4,0,1,16,1,0,8,638,1,-1,0,3,1
35,4,2,2,565,1,0,8,763,1,-1,0,3,1
38,0,0,1,19,1,0,8,604,2,-1,0,3,1
40,7,1,0,1082,1,0,8,854,2,-1,0,3,1
42,10,0,1,1713,1,0,8,855,2,-1,0,3,1
46,4,0,2,14481,1,0,8,1269,1,-1,0,3,1
35,9,0,1,5724,1,0,8,691,10,-1,0,3,1
34,9,0,1,1451,1,0,8,1097,15,-1,0,3,1
32,7,1,1,-34,1,0,8,1236,2,-1,0,3,1
50,10,1,1,3674,1,0,8,886,3,-1,0,3,1
35,1,1,1,698,1,1,8,1343,3,-1,0,3,1
36,9,2,1,4136,1,0,8,812,3,-1,0,3,1
53,1,0,0,2656,1,0,8,1980,2,-1,0,3,1
46,4,2,2,2904,1,0,8,984,2,-1,0,3,1
26,4,2,2,1004,1,0,8,228,2,-1,0,3,1
45,9,2,1,410,1,0,8,891,4,-1,0,3,1
31,10,0,0,0,1,0,8,745,12,-1,0,3,1
29,4,2,2,0,1,0,8,539,12,-1,0,3,1
53,2,2,1,62,1,0,8,1044,5,-1,0,3,1
27,1,1,0,416,1,0,8,1193,2,-1,0,3,1
39,4,1,2,2763,1,0,6,526,2,-1,0,3,1
36,7,1,1,2984,1,0,6,394,1,-1,0,3,1
41,1,1,0,143,1,1,6,659,2,-1,0,3,1
36,7,1,0,0,1,0,6,1036,1,-1,0,3,1
32,9,1,1,696,1,0,6,815,1,-1,0,3,1
35,7,1,1,152,1,0,6,563,1,-1,0,3,1
36,4,2,2,-78,1,0,6,1068,1,-1,0,3,1
35,4,1,2,867,1,0,6,230,3,-1,0,3,1
30,1,2,1,953,1,0,6,747,2,-1,0,3,1
42,1,1,1,443,1,0,6,671,5,-1,0,3,1
42,9,2,1,-1129,1,0,6,555,5,-1,0,3,1
32,1,1,0,415,1,0,6,777,4,-1,0,3,1
29,1,2,1,260,1,0,6,707,14,-1,0,3,1
44,4,0,2,-411,1,0,6,432,4,-1,0,3,1
32,9,2,1,1279,1,0,6,1173,3,-1,0,3,1
31,10,1,1,86,1,1,6,963,2,-1,0,3,1
40,6,1,1,-754,1,1,6,941,3,-1,0,3,1
43,2,1,1,0,0,0,6,1025,7,-1,0,3,1
27,4,2,1,178,1,0,6,732,2,-1,0,3,1
37,7,2,1,278,1,0,6,1045,3,-1,0,3,1
23,7,2,1,425,1,0,6,768,1,-1,0,3,1
25,4,1,0,168,1,0,6,801,1,-1,0,3,1
26,1,2,1,-36,1,0,6,482,2,-1,0,3,1
47,1,0,0,126,1,0,6,2456,2,-1,0,3,1
35,0,1,1,-87,1,0,6,1363,7,-1,0,3,1
32,9,2,2,6281,1,0,6,1336,4,-1,0,3,1
45,4,0,1,644,1,0,6,633,1,-1,0,3,1
30,0,0,1,377,1,0,6,524,15,-1,0,3,1
29,7,2,1,-271,1,0,6,578,1,-1,0,3,1
38,1,1,0,5839,1,0,6,984,2,-1,0,3,1
23,1,2,1,492,1,0,6,638,1,-1,0,3,1
27,4,2,2,99,1,0,6,767,2,-1,0,3,1
27,4,2,2,-713,1,0,6,525,2,-1,0,3,1
29,7,2,1,32,1,0,6,563,1,-1,0,3,1
30,6,1,2,543,1,1,6,1449,6,-1,0,3,1
36,1,1,0,403,1,0,6,920,1,-1,0,3,1
35,0,0,1,437,1,0,6,908,1,-1,0,3,1
36,1,1,1,1772,0,0,6,208,1,-1,0,3,1
59,5,0,0,-88,1,0,6,910,2,-1,0,3,1
47,2,1,1,0,0,0,6,1446,1,-1,0,3,1
58,2,1,2,853,0,0,6,1149,2,-1,0,3,1
37,4,2,2,240,0,0,6,1123,1,-1,0,3,1
46,0,2,1,849,1,0,6,508,2,-1,0,3,1
43,1,2,1,318,1,0,6,736,2,-1,0,3,1
27,4,2,2,703,1,0,6,590,3,-1,0,3,1
38,7,0,1,61,0,0,6,636,1,-1,0,3,1
53,3,1,0,104,0,1,6,701,1,-1,0,3,1
47,1,1,1,1996,0,0,6,761,2,-1,0,3,1
56,3,0,0,1238,0,0,6,1558,1,-1,0,3,1
41,3,1,1,879,0,0,6,1053,2,-1,0,3,1
29,6,1,1,425,1,0,6,562,15,-1,0,3,1
50,9,1,1,416,1,0,6,494,5,-1,0,3,1
45,1,0,0,844,0,0,6,1018,3,-1,0,3,1
35,1,1,1,860,1,0,6,884,4,-1,0,3,1
26,9,2,1,639,1,0,6,709,5,-1,0,3,1
26,0,1,1,710,1,1,6,1276,2,-1,0,3,1
37,1,1,3,1508,0,1,6,381,2,-1,0,3,1
30,0,2,1,223,1,0,6,862,11,-1,0,3,1
38,4,2,2,619,1,0,6,460,4,-1,0,3,1
37,7,0,1,319,1,0,6,467,3,-1,0,3,1
53,9,1,1,480,0,0,6,648,2,-1,0,3,1
29,1,2,0,213,1,0,6,2653,3,-1,0,3,1
35,4,2,2,68,0,0,6,1085,1,-1,0,3,1
28,1,1,1,2788,1,0,6,369,2,-1,0,3,1
55,1,1,3,7561,0,0,6,685,3,-1,0,3,1
49,4,0,1,-46,1,0,6,1055,10,-1,0,3,1
50,7,1,1,1595,0,0,6,882,1,-1,0,3,1
43,4,2,2,1046,0,0,6,901,1,-1,0,3,1
58,6,0,2,1382,0,0,6,700,1,-1,0,3,1
38,9,1,0,217,1,0,6,491,6,-1,0,3,1
48,1,0,0,183,0,0,6,940,1,-1,0,3,1
59,4,1,1,1321,0,0,6,3881,3,-1,0,3,1
58,1,1,1,25,0,0,6,486,3,-1,0,3,1
36,6,2,2,4844,0,0,6,1137,3,-1,0,3,1
42,2,1,2,5345,0,0,6,878,3,-1,0,3,1
41,0,2,1,812,0,1,6,583,4,-1,0,3,1
42,0,1,1,105,0,0,6,1159,4,-1,0,3,1
39,4,1,2,-190,0,1,6,893,8,-1,0,3,1
57,3,1,0,625,0,1,6,867,1,-1,0,3,1
52,5,1,3,293,0,0,6,706,1,-1,0,3,1
59,5,1,3,1033,0,0,6,1199,1,-1,0,3,1
56,1,1,1,1210,0,0,6,935,1,-1,0,3,1
49,4,1,2,64,0,0,6,586,1,-1,0,3,1
35,1,0,3,164,0,0,6,967,2,-1,0,3,1
36,10,1,1,1766,0,0,6,595,2,-1,0,3,1
40,0,2,2,1248,0,0,6,1290,2,-1,0,3,1
55,1,1,1,0,0,0,6,614,2,-1,0,3,1
58,0,1,1,826,0,0,6,885,1,-1,0,3,1
39,6,1,2,2630,0,0,6,651,5,-1,0,3,1
47,3,2,2,3727,0,0,6,993,6,-1,0,3,1
40,4,1,1,406,1,0,6,577,2,-1,0,3,1
35,1,1,2,2999,0,0,6,1141,6,-1,0,3,1
48,1,1,1,1000,1,0,6,1268,2,-1,0,3,1
48,4,0,2,503,0,1,6,1243,7,-1,0,3,1
24,1,2,1,-203,1,0,6,465,3,-1,0,3,1
49,1,1,0,361,1,0,6,513,2,-1,0,3,1
36,1,1,1,274,1,0,6,686,11,-1,0,3,1
52,5,0,2,3687,1,1,6,741,4,-1,0,3,1
42,2,2,3,323,0,0,6,617,1,-1,0,3,1
36,7,1,1,981,0,0,6,1093,1,-1,0,3,1
36,1,0,1,638,1,0,6,1395,2,-1,0,3,1
48,10,2,2,3229,0,0,6,1089,1,-1,0,3,1
51,4,2,1,1610,1,0,6,1248,3,-1,0,3,1
51,1,1,1,33,0,1,6,721,3,-1,0,3,1
46,9,1,1,536,1,0,6,750,2,-1,0,3,1
37,4,1,2,0,0,0,6,637,6,-1,0,3,1
36,2,1,2,3057,0,0,6,2769,4,-1,0,3,1
47,4,1,1,2892,0,0,6,556,1,-1,0,3,1
40,9,0,2,0,0,0,6,522,1,-1,0,3,1
38,8,2,2,3316,0,0,6,1345,3,-1,0,3,1
40,4,1,1,106,0,0,6,676,2,-1,0,3,1
39,1,1,0,2303,1,0,6,775,3,-1,0,3,1
60,4,1,2,3301,0,0,6,2621,3,-1,0,3,1
39,6,2,2,426,0,0,6,1029,1,-1,0,3,1
51,7,0,1,9,0,0,6,371,2,-1,0,3,1
27,0,1,1,-97,1,0,6,1528,2,-1,0,3,1
41,4,2,2,11008,0,0,6,1540,1,-1,0,3,1
42,1,2,0,4930,0,0,6,973,1,-1,0,3,1
41,2,1,1,707,0,0,6,707,1,-1,0,3,1
33,9,1,1,4,1,1,6,625,2,-1,0,3,1
46,0,1,1,126,0,0,6,1255,1,-1,0,3,1
31,1,1,1,671,1,0,6,704,4,-1,0,3,1
41,1,1,0,219,0,1,6,1574,3,-1,0,3,1
41,1,0,1,3622,0,0,6,1135,4,-1,0,3,1
55,5,0,1,1580,0,1,6,1007,1,-1,0,3,1
53,9,1,1,1319,0,0,6,1318,3,-1,0,3,1
55,3,1,0,2152,0,0,6,922,2,-1,0,3,1
39,7,1,1,2843,1,0,6,585,1,-1,0,3,1
40,2,1,2,0,0,0,6,952,4,-1,0,3,1
59,5,1,0,1115,0,0,6,834,1,-1,0,3,1
42,1,2,1,625,0,0,6,651,3,-1,0,3,1
41,1,1,0,246,0,0,6,683,3,-1,0,3,1
27,1,1,1,61,1,0,6,1012,1,-1,0,3,1
25,1,2,1,-191,1,0,6,958,7,-1,0,3,1
43,10,1,0,519,0,0,6,973,2,-1,0,3,1
44,7,1,1,522,0,1,6,911,1,-1,0,3,1
26,1,2,1,-46,1,0,6,382,7,-1,0,3,1
52,5,1,2,2269,0,0,6,1210,1,-1,0,3,1
54,7,1,3,386,0,1,6,838,1,-1,0,3,1
56,4,1,2,0,0,1,6,422,1,-1,0,3,1
57,4,1,2,9103,0,1,6,1098,2,-1,0,3,1
29,1,2,1,908,1,0,6,1663,1,-1,0,3,1
47,9,1,2,1694,0,1,6,560,3,-1,0,3,1
57,4,1,2,-92,1,1,6,1617,1,-1,0,3,1
40,1,1,1,188,1,1,6,570,2,-1,0,3,1
46,7,0,1,0,0,0,6,1023,3,-1,0,3,1
43,1,2,1,740,1,0,6,585,2,-1,0,3,1
45,4,1,2,655,0,0,6,693,3,-1,0,3,1
24,4,1,1,867,1,0,6,546,10,-1,0,3,1
40,1,1,1,1009,1,1,6,1036,5,-1,0,3,1
38,7,0,3,6360,0,0,6,1409,2,-1,0,3,1
36,10,1,2,4145,0,0,6,988,4,-1,0,3,1
27,1,2,1,-27,0,0,6,498,2,-1,0,3,1
26,0,2,0,-122,1,0,6,670,3,-1,0,3,1
43,4,1,2,149,1,0,6,662,2,-1,0,3,1
25,1,2,0,52,1,0,6,528,2,-1,0,3,1
27,1,1,2,335,1,0,6,519,3,-1,0,3,1
30,9,1,2,526,1,1,6,677,3,-1,0,3,1
28,0,2,1,-7,0,1,6,3183,2,-1,0,3,1
27,1,1,0,-413,0,1,6,422,6,-1,0,3,1
32,0,0,1,-241,0,1,6,856,2,-1,0,3,1
41,1,2,1,75,1,0,5,479,9,-1,0,3,1
37,9,2,2,0,0,0,5,1135,2,-1,0,3,1
27,9,2,1,158,0,0,5,650,2,-1,0,3,1
29,7,2,1,84,0,1,5,587,3,-1,0,3,1
33,7,1,1,114,0,1,5,676,1,-1,0,3,1
36,9,1,0,0,0,0,5,584,1,-1,0,3,1
28,1,2,1,-127,1,0,5,1044,3,-1,0,3,1
55,1,1,1,49,1,0,5,494,4,-1,0,3,1
51,9,1,1,216,0,0,5,615,2,-1,0,3,1
39,9,2,1,506,1,0,5,718,2,-1,0,3,1
42,1,0,0,213,1,0,5,434,3,-1,0,3,1
33,7,2,1,170,0,0,5,782,1,-1,0,3,1
36,2,0,2,776,0,1,5,722,3,-1,0,3,1
45,9,1,1,879,0,0,5,621,2,-1,0,3,1
37,6,1,1,1633,0,0,5,629,2,-1,0,3,1
46,10,1,1,926,0,0,5,385,5,-1,0,3,1
32,6,2,2,2559,0,0,5,889,1,-1,0,3,1
28,9,2,1,909,0,1,5,532,1,-1,0,3,1
45,0,0,1,-176,0,1,5,574,1,-1,0,3,1
41,1,2,1,1085,1,1,5,599,1,-1,0,3,1
59,1,0,0,1265,0,1,5,849,1,-1,0,3,1
47,9,2,1,-239,1,1,5,973,3,-1,0,3,1
31,1,2,1,726,0,0,5,719,2,-1,0,3,1
31,4,2,2,296,0,1,5,509,4,-1,0,3,1
33,2,1,1,-627,1,1,5,740,1,-1,0,3,1
52,2,1,2,-468,0,0,5,534,1,-1,0,3,1
26,6,2,1,551,0,0,5,531,1,-1,0,3,1
25,9,2,1,0,0,1,5,634,1,-1,0,3,1
25,1,1,1,101,0,1,5,460,3,-1,0,3,1
28,1,2,1,517,0,1,5,681,1,-1,0,3,1
33,2,0,2,37,0,1,5,1082,1,-1,0,3,1
45,4,0,2,854,0,1,5,730,1,-1,0,3,1
36,7,1,1,30,0,1,5,716,5,-1,0,3,1
26,1,2,1,81,0,1,5,803,2,-1,0,3,1
38,9,1,1,0,0,0,5,635,1,-1,0,3,1
56,1,2,1,663,0,1,5,819,3,-1,0,3,1
26,0,2,1,102,0,1,5,658,2,-1,0,3,1
26,9,1,1,370,0,1,5,1061,4,-1,0,3,1
25,1,2,1,189,0,1,5,687,2,-1,0,3,1
26,10,2,1,111,0,0,5,537,1,-1,0,3,1
40,1,1,0,665,1,0,5,781,1,-1,0,3,1
37,0,1,0,214,1,0,5,645,1,-1,0,3,1
43,1,2,0,0,0,0,5,1242,1,-1,0,3,1
41,7,0,2,1583,1,0,5,662,1,-1,0,3,1
49,1,1,1,0,0,1,5,625,1,-1,0,3,1
29,0,0,2,0,0,1,5,426,3,-1,0,3,1
39,7,0,1,687,1,0,5,869,1,-1,0,3,1
38,4,1,2,327,1,1,5,556,5,-1,0,3,1
26,9,1,1,-119,0,1,5,359,5,-1,0,3,1
32,4,1,2,794,1,1,5,1014,1,-1,0,3,1
33,1,1,0,-191,1,1,5,1290,4,-1,0,3,1
31,4,2,2,409,0,1,5,564,5,-1,0,3,1
49,1,1,0,3,0,1,5,1439,6,-1,0,3,1
27,10,2,0,9,0,1,5,919,2,-1,0,3,1
30,1,2,1,155,1,1,5,1426,3,-1,0,3,1
35,1,1,1,1330,0,0,5,901,1,-1,0,3,1
26,1,2,1,-29,1,0,5,998,4,-1,0,3,1
45,2,1,3,3133,1,1,5,804,1,-1,0,3,1
34,0,1,1,-33,1,1,5,961,1,-1,0,3,1
28,0,2,1,-170,0,1,5,720,2,-1,0,3,1
25,1,2,1,1243,0,1,5,1341,7,-1,0,3,1
30,1,2,1,1598,1,0,5,634,1,-1,0,3,1
30,7,1,1,5,0,1,5,829,5,-1,0,3,1
47,7,1,1,367,1,0,5,476,4,-1,0,3,1
57,0,0,1,658,0,0,5,724,1,-1,0,3,1
38,4,1,2,1722,1,0,5,500,1,-1,0,3,1
54,9,1,1,-315,0,1,5,2029,1,-1,0,3,1
25,1,2,0,2483,0,0,5,1499,3,-1,0,3,1
30,1,1,1,0,1,1,5,1399,1,-1,0,3,1
26,4,2,2,45,0,0,5,1187,3,-1,0,3,1
31,8,1,0,46,1,0,5,487,1,-1,0,3,1
29,1,2,1,482,0,1,5,1097,3,-1,0,3,1
49,1,1,1,3728,1,0,5,1060,2,-1,0,3,1
60,5,0,1,1099,0,0,5,764,2,-1,0,3,1
60,4,1,2,2222,1,0,5,1120,2,-1,0,3,1
29,4,2,2,983,1,0,5,963,2,-1,0,3,1
55,4,0,1,204,1,0,5,1973,2,-1,0,3,1
44,0,1,1,1074,1,0,5,911,2,-1,0,3,1
47,9,1,1,3466,1,0,5,853,2,-1,0,3,1
35,0,1,1,-203,1,0,5,1649,2,-1,0,3,1
35,2,1,1,2436,0,1,5,1397,3,-1,0,3,1
38,9,1,1,976,1,0,5,766,3,-1,0,3,1
34,2,1,2,146,1,0,5,788,2,-1,0,3,1
50,9,1,1,156,0,1,5,1130,3,-1,0,3,1
43,0,1,2,189,1,0,5,1062,4,-1,0,3,1
44,0,0,1,163,1,0,5,1669,2,-1,0,3,1
51,7,0,1,242,0,1,5,1336,4,-1,0,3,1
31,9,1,1,1173,1,0,5,444,3,-1,0,3,1
39,9,1,2,0,1,0,5,894,7,-1,0,3,1
59,4,1,2,296,0,1,5,805,3,-1,0,3,1
25,7,2,1,333,0,1,5,1056,2,-1,0,3,1
58,4,1,2,3864,1,0,5,815,4,-1,0,3,1
30,2,1,0,2686,1,0,5,808,3,-1,0,3,1
34,1,2,0,-109,1,0,5,860,4,-1,0,3,1
51,7,0,1,65,0,1,5,881,1,-1,0,3,1
60,5,1,1,597,0,0,5,981,1,-1,0,3,1
51,2,1,1,-799,0,1,5,1001,3,-1,0,3,1
37,4,0,2,1775,0,0,5,514,5,-1,0,3,1
30,1,2,0,0,0,0,5,716,3,-1,0,3,1
46,2,0,1,-563,0,1,5,769,4,-1,0,3,1
29,8,2,2,5,0,0,5,889,5,-1,0,3,1
27,2,1,2,139,0,0,5,448,5,-1,0,3,1
28,4,2,2,0,1,0,5,767,5,-1,0,3,1
34,1,2,1,855,1,0,5,578,1,-1,0,3,1
29,1,2,3,694,1,1,5,1806,4,-1,0,3,1
27,4,2,2,151,1,0,5,496,1,-1,0,3,1
26,9,2,1,354,0,0,5,586,1,-1,0,3,1
